,PropertyName,Address,Price,No_Bedrooms,No_Bathrooms,Floorsize,Property_Type,Tenure,PSF,link,Latitude,Longitude,District,State
255,[Ready Soon] Freehold I Fully Furnished I Low Density I Forest Reserve,"Country Heights Damansara, Kuala Lumpur",880000,3,3,1519,Condominium,Freehold,579.33,https://www.propertyguru.com.my/propertylisting/readysoonfreeholdifullyfurnishedilowdensityiforestreserveforsalebyshawnkuan36580890,3.1780561,101.6312206,Country Heights Damansara, Kuala Lumpur
256,[Ready Soon] Freehold I Fully Furnished I Low Density I Forest Reserve,"Bandar Sri Menjalara, Bandar Menjalara, Kuala Lumpur",880000,3,3,1510,Condominium,Freehold,582.78,https://www.propertyguru.com.my/propertylisting/readysoonfreeholdifullyfurnishedilowdensityiforestreserveforsalebyshawnkuan36580864,3.1941339,101.6272283,Bandar Menjalara, Kuala Lumpur
257,Pangsapuri Mawar (Sentul)," Jalan 7/48A, Bandar Baru Sentul, Sentul, Kuala Lumpur",310000,3,2,1005,Condominium,Leasehold,308.46,https://www.propertyguru.com.my/propertylisting/pangsapurimawarsentulforsalebybryancho36610429,3.1786181,101.6954775,Sentul, Kuala Lumpur
258,[Damansara Penthouse] Ready Soon I Forest View I Freehold & Low Density,"Taman Tun Dr Ismail, Kuala Lumpur",1350000,4,3,2010,Condominium,Freehold,671.64,https://www.propertyguru.com.my/propertylisting/damansarapenthousereadysooniforestviewifreeholdlowdensityforsalebyshawnkuan36579866,3.1508079,101.6249189,Taman Tun Dr Ismail, Kuala Lumpur
259,Last 3 Unit [BELOW MARKET PRICE] FREEHOLD Setapak Luxury Condo,"Setapak Jaya, Setapak, Kuala Lumpur",350000,4,3,1200,Condominium,Freehold,291.67,https://www.propertyguru.com.my/propertylisting/last3unitbelowmarketpricefreeholdsetapakluxurycondoforsalebyalbertng36530253,3.1975774,101.7139655,Setapak, Kuala Lumpur
260,Cheras Loft,"Taman Connaught, Cheras, Kuala Lumpur",387000,3,2,1100,Condominium,Freehold,351.82,https://www.propertyguru.com.my/propertylisting/cherasloftforsalebyalbertng36638781,3.0991919,101.7374229,Cheras, Kuala Lumpur
261,"200K Furnished Studio, GRR + Rental Team【Next To University / College】","Jalan Ampang, KL City, Kuala Lumpur",199999,2,1,500,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/200kfurnishedstudiogrrrentalteamnexttouniversitycollegeforsalebyjacquelinesew36347821,47.3776542,8.538495,KL City, Kuala Lumpur
262,Kiara 1888,"Jalan Kiara 3, Kampung Segambut Dalam, Mont Kiara, Kuala Lumpur",1300000,4,5,2390,Condominium,Freehold,543.93,https://www.propertyguru.com.my/propertylisting/kiara1888forsalebyjasenkong36672570,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
263,Sky Semi D Condo Bukit Jalil Pavillion 2,"Bukit Jalil, Kuala Lumpur",500000,3,2,1100,Condominium,Leasehold,454.55,https://www.propertyguru.com.my/propertylisting/skysemidcondobukitjalilpavillion2forsalebyedwardtee36125921,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
264,[ Below Market Price 40% ] 1400sqft 4Room 5 Star Condo Near Nilai,"ParkCity Heights, Desa ParkCity, Kuala Lumpur",329000,4,3,1400,Condominium,Freehold,235,https://www.propertyguru.com.my/propertylisting/belowmarketprice401400sqft4room5starcondonearnilaiforsalebyjoel35491563,3.1863832,101.6318156,Desa ParkCity, Kuala Lumpur
265,Last Few Unit Promotion Cashback Up To RM50k Big Layout Near Mall,"Mid Valley City, Kuala Lumpur",251000,4,3,1500,Condominium,Freehold,167.33,https://www.propertyguru.com.my/propertylisting/lastfewunitpromotioncashbackuptorm50kbiglayoutnearmallforsalebyjoel35392201,3.118506,101.6768457,Mid Valley City, Kuala Lumpur
