,PropertyName,Address,Price,No_Bedrooms,No_Bathrooms,Floorsize,Property_Type,Tenure,PSF,link,Latitude,Longitude,District,State
321,Setia SKY Residences,"Jalan Raja Muda Abdul Aziz, Off Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",1300000,4,4,1378,Condominium,Freehold,943.4,https://www.propertyguru.com.my/propertylisting/setiaskyresidencesforsalebykhchoo36589028,47.3776542,8.538495,KL City, Kuala Lumpur
322,PSV 1 Residences @ Platinum South Valley,"Bandar Tasik Selatan, Kuala Lumpur",412000,3,2,946,New Project,Unknown,435.52,https://www.propertyguru.com.my/propertylisting/psv1residencesplatinumsouthvalleyforsalebykhchoo36663644,3.07609695,101.7114468,Bandar Tasik Selatan, Kuala Lumpur
323,Seri Riana Residence,"Jln Wangsa Delima 7 Off Jalan Wangsa Perdana 1, Wangsa Maju, Wangsa Maju, Kuala Lumpur",1050000,4,4,1754,Condominium,Leasehold,598.63,https://www.propertyguru.com.my/propertylisting/seririanaresidenceforsalebyaimizamzuri36341129,3.20568905,101.7319923,Wangsa Maju, Kuala Lumpur
324,1 Sentul,"Jalan Sentul Pasar, Kuala Lumpur, Sentul, Kuala Lumpur",658000,4,2,1355,Condominium,Freehold,485.61,https://www.propertyguru.com.my/propertylisting/1sentulforsalebyaimizamzuri36417393,3.1786181,101.6954775,Sentul, Kuala Lumpur
325,Lakeville Residence,"Jalan Sibu Off Jalan Ipoh, Taman Wahyu, Jalan Ipoh, KL City, Kuala Lumpur",680000,3,2,1195,Condominium,Leasehold,569.04,https://www.propertyguru.com.my/propertylisting/lakevilleresidenceforsalebysherrenakoh34558606,47.3776542,8.538495,KL City, Kuala Lumpur
326,The Henge Kepong,"The Henge Jalan Metro Perdana Barat, Taman Usahawan Kepong, Kepong, Kuala Lumpur",465000,3,2,1100,Condominium,Leasehold,422.73,https://www.propertyguru.com.my/propertylisting/thehengekepongforsalebyansontan36246450,3.2140294,101.634842,Kepong, Kuala Lumpur
327,The Henge Kepong,"The Henge Jalan Metro Perdana Barat, Taman Usahawan Kepong, Kepong, Kuala Lumpur",580000,3,2,1100,Condominium,Leasehold,527.27,https://www.propertyguru.com.my/propertylisting/thehengekepongforsalebyansontan36031006,3.2140294,101.634842,Kepong, Kuala Lumpur
328,The Harmony @ Old Klang Road,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",485000,3,2,1033,New Project,Unknown,469.51,https://www.propertyguru.com.my/propertylisting/theharmonyoldklangroadforsalebylouischen34889542,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
329,Sentul Utama Condominium," Jalan Dato Senu 26, Taman Sentul Utama, Sentul, Kuala Lumpur",380000,3,2,891,Condominium,Leasehold,426.49,https://www.propertyguru.com.my/propertylisting/sentulutamacondominiumforsalebysarifudinjamni36662227,3.1786181,101.6954775,Sentul, Kuala Lumpur
330,"Terra Springverve @ Suites KL, old klang road","old klang road (Jalan Klang Lama), Old Klang Road (Jalan Klang Lama), Kuala Lumpur",480000,1,1,555,Condominium,Freehold,864.86,https://www.propertyguru.com.my/propertylisting/terraspringvervesuiteskloldklangroadforsalebyalhanaahmad36284007,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
331,Bukit Desa Condominium," Jalan Bukit Desa 3, Taman Desa, Kuala Lumpur",650000,3,2,1240,Condominium,Freehold,524.19,https://www.propertyguru.com.my/propertylisting/bukitdesacondominiumforsalebyshimrywong35690275,3.1030637,101.6850208,Taman Desa, Kuala Lumpur
332,Rumahwip Setapak,"Setapak Jaya, Setapak, Kuala Lumpur",300000,3,2,806,Condominium,Leasehold,372.21,https://www.propertyguru.com.my/propertylisting/rumahwipsetapakforsalebyamirulsolehin33268932,3.1975774,101.7139655,Setapak, Kuala Lumpur
333,M Oscar,"No. 6 Jalan Senang Ria, Taman Gembira, Old Klang Road (Kuchai Lama), Kuchai Lama, Kuala Lumpur",579096,3,2,895,New Project,Unknown,647.03,https://www.propertyguru.com.my/propertylisting/moscarforsalebykevinlee36034078,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
334,Residensi Bintang Bukit Jalil,"Jalan Impian Indah, Bukit Jalil, Kuala Lumpur",566000,2,2,805,New Project,Unknown,703.11,https://www.propertyguru.com.my/propertylisting/residensibintangbukitjalilforsalebykevinlee35611412,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
335,Royal Regent (Sri Putramas 3)," Jalan Dutamas 2, Jalan Kuching, KL City, Kuala Lumpur",460000,2,2,880,Condominium,Freehold,522.73,https://www.propertyguru.com.my/propertylisting/royalregentsriputramas3forsalebytroytan36453866,47.3776542,8.538495,KL City, Kuala Lumpur
336,Aira Residence,"Jalan Batai, Damansara Heights, Kuala Lumpur",5700000,3,4,2700,Condominium,Freehold,2111.11,https://www.propertyguru.com.my/propertylisting/airaresidenceforsalebythlee36381128,3.1523954,101.6584455,Damansara Heights, Kuala Lumpur
337,Stonor 3 @ KLCC,"Stonor 3 Lorong Stonor Off Persiaran Stonor, KLCC, KL City, Kuala Lumpur",1150000,2,2,871,Condominium,Freehold,1320.32,https://www.propertyguru.com.my/propertylisting/stonor3klccforsalebynicholasloo32224821,47.3776542,8.538495,KL City, Kuala Lumpur
338,18 Madge,"18 Jalan Madge, Ampang Hilir, Kuala Lumpur",2600000,4,5,2678,New Project,Unknown,970.87,https://www.propertyguru.com.my/propertylisting/18madgeforsalebynicholasloo36557978,3.1585208,101.7401858,Ampang Hilir, Kuala Lumpur
339,Zehn Bukit Pantai,"8 Jalan Bukit Pantai, Pantai, Bangsar South, Kuala Lumpur",1550000,3,5,2479,Condominium,Leasehold,625.25,https://www.propertyguru.com.my/propertylisting/zehnbukitpantaiforsalebyivanyap36512547,3.1129733,101.6667294,Bangsar South, Kuala Lumpur
340,Zehn Bukit Pantai,"8 Jalan Bukit Pantai, Pantai, Bangsar South, Kuala Lumpur",2000000,4,6,3046,Condominium,Leasehold,656.6,https://www.propertyguru.com.my/propertylisting/zehnbukitpantaiforsalebyivanyap36511653,3.1129733,101.6667294,Bangsar South, Kuala Lumpur
341,Zehn Bukit Pantai,"8 Jalan Bukit Pantai, Pantai, Bangsar South, Kuala Lumpur",2150000,4,6,3509,Condominium,Leasehold,612.71,https://www.propertyguru.com.my/propertylisting/zehnbukitpantaiforsalebyivanyap36510582,3.1129733,101.6667294,Bangsar South, Kuala Lumpur
342,Bukit Jalil Precious & Spacious Lifestyle Freehold SemiD Condo,"Bukit Jalil, Kuala Lumpur",290000,3,2,1100,Condominium,Freehold,263.64,https://www.propertyguru.com.my/propertylisting/bukitjalilpreciousspaciouslifestylefreeholdsemidcondoforsalebymrong31556790,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
343,The Harmony @ Old Klang Road,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",470000,3,2,1033,Condominium,Leasehold,454.99,https://www.propertyguru.com.my/propertylisting/theharmonyoldklangroadforsalebyyevakeng32818377,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
344,Mont Kiara Pines," Jalan Kiara, Mont Kiara, Kuala Lumpur",860000,3,2,1288,Condominium,Freehold,667.7,https://www.propertyguru.com.my/propertylisting/montkiarapinesforsalebyshamalahkodiswaran34948423,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
345,Seni Mont Kiara," Changkat Duta Kiara, Mont Kiara, Kuala Lumpur",1980000,4,3,2411,Condominium,Freehold,821.24,https://www.propertyguru.com.my/propertylisting/senimontkiaraforsalebyshamalahkodiswaran36690601,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
346,Villa Wangsamas," Jalan Seri Wangsa 1, Wangsa Maju, Kuala Lumpur",480000,3,3,1270,Condominium,Freehold,377.95,https://www.propertyguru.com.my/propertylisting/villawangsamasforsalebyannhana36649700,3.20568905,101.7319923,Wangsa Maju, Kuala Lumpur
347,Seringin Residences,"8 Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",1500000,3,4,2128,Condominium,Freehold,704.89,https://www.propertyguru.com.my/propertylisting/seringinresidencesforsalebyailing36648423,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
348,Cloud Tree @ Cheras,"Jalan Juara, Cheras, Kuala Lumpur",635000,4,2,1296,Condominium,Freehold,489.97,https://www.propertyguru.com.my/propertylisting/cloudtreecherasforsalebylouistan36276299,3.0991919,101.7374229,Cheras, Kuala Lumpur
349,Waltz Residences,"1 Taman Overseas Union, Jalan Awan Besar, Taman OUG, Kuchai Lama, Kuala Lumpur",780000,4,4,1090,Condominium,Freehold,715.6,https://www.propertyguru.com.my/propertylisting/waltzresidencesforsalebyrhythmchong30537477,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
350,Vina Versatile Homes @ Cheras,"Jalan Seri Taming 2a Off Persiaran Minang, Taman Seri Taming, Cheras, Kuala Lumpur",450000,3,3,900,Condominium,Freehold,500,https://www.propertyguru.com.my/propertylisting/vinaversatilehomescherasforsalebyeldachong36644398,3.0991919,101.7374229,Cheras, Kuala Lumpur
351,The Haute Gurney KL,"Jalan Gurney Off Jalan Padang Tembak, Keramat, Kuala Lumpur",520000,3,2,1061,Condominium,Leasehold,490.1,https://www.propertyguru.com.my/propertylisting/thehautegurneyklforsalebyginlow36712636,3.1769852,101.7493586,Keramat, Kuala Lumpur
352,Villa Puteri," Jalan Tun Ismail, KL City, Kuala Lumpur",465000,2,2,1100,Condominium,Freehold,422.73,https://www.propertyguru.com.my/propertylisting/villaputeriforsalebychaoxiang36104874,47.3776542,8.538495,KL City, Kuala Lumpur
353,The Riyang @ Happy Garden,"Jalan Gembira Off Jalan Kuchai Maju, Happy Garden, Kuchai Lama, Kuala Lumpur",890000,4,4,1477,Condominium,Freehold,602.57,https://www.propertyguru.com.my/propertylisting/theriyanghappygardenforsalebydavidting32387522,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
354,Le Yuan Residence,"Jalan 6/127a Off Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",828000,3,3,1535,Condominium,Freehold,539.41,https://www.propertyguru.com.my/propertylisting/leyuanresidenceforsalebyelsisliew35910526,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
355,Le Yuan Residence,"Jalan 6/127a Off Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",735000,3,2,1406,Condominium,Freehold,522.76,https://www.propertyguru.com.my/propertylisting/leyuanresidenceforsalebyelsisliew30726174,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
356,Westside III,"Jalan Residen Utama, Desa Parkcity, Kuala Lumpur, Desa ParkCity, Kuala Lumpur",1450000,3,2,1443,Condominium,Freehold,1004.85,https://www.propertyguru.com.my/propertylisting/westsideiiiforsalebyjosephsow36711623,3.1863832,101.6318156,Desa ParkCity, Kuala Lumpur
357,28 Mont Kiara,"32 Jalan Kiara, Mont Kiara, Kuala Lumpur",2150000,3,4,2700,Condominium,Freehold,796.3,https://www.propertyguru.com.my/propertylisting/28montkiaraforsalebyjonathanlee35205716,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
358,Verve Suites @ Mont Kiara,"5 Jalan Kiara 5, Mont Kiara, Mont Kiara, Kuala Lumpur",600000,1,1,672,Condominium,Freehold,892.86,https://www.propertyguru.com.my/propertylisting/vervesuitesmontkiaraforsalebymonicawong35515617,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
359,Verve Suites @ Mont Kiara,"5 Jalan Kiara 5, Mont Kiara, Mont Kiara, Kuala Lumpur",528000,1,1,462,Condominium,Freehold,1142.86,https://www.propertyguru.com.my/propertylisting/vervesuitesmontkiaraforsalebymonicawong36350406,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
360,Quadro Residences," Persiaran KLCC, OFF Jalan Kia Peng, KLCC, KL City, Kuala Lumpur",1700000,3,4,1591,Condominium,Freehold,1068.51,https://www.propertyguru.com.my/propertylisting/quadroresidencesforsalebylisang36490799,47.3776542,8.538495,KL City, Kuala Lumpur
361,Waltz Residences,"1 Taman Overseas Union, Jalan Awan Besar, Taman OUG, Kuchai Lama, Kuala Lumpur",940000,3,3,1250,Condominium,Freehold,752,https://www.propertyguru.com.my/propertylisting/waltzresidencesforsalebyrhythmchong30306601,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
362,OUG Condo Move in 2024 near Midvalley *Rental RM3300/Month GRR 3+3 Year* Offer 1st Home Cash 45k,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",485000,3,2,1079,Condominium,Leasehold,449.49,https://www.propertyguru.com.my/propertylisting/ougcondomovein2024nearmidvalleyrentalrm3300monthgrr33yearoffer1sthomecash45kforsalebyjackyng36117132,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
363,"OUG Condo ""GRR 8% 3+3 Year"" Below Market 30% [near Midvalley OUG, 2024 Move in] Offer 1st House","Old Klang Road (Jalan Klang Lama), Kuala Lumpur",483000,3,2,1069,Condominium,Leasehold,451.82,https://www.propertyguru.com.my/propertylisting/ougcondogrr833yearbelowmarket30nearmidvalleyoug2024moveinoffer1sthouseforsalebyjackyng36113628,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
364,"Legacy OUG Condo [near Midvalley Move in 2024] Offer 1st Home CashRebate 45k, Rental GRR 8% 3+3 Year","Old Klang Road (Jalan Klang Lama), Kuala Lumpur",485000,3,2,1068,Condominium,Leasehold,454.12,https://www.propertyguru.com.my/propertylisting/legacyougcondonearmidvalleymovein2024offer1sthomecashrebate45krentalgrr833yearforsalebyjackyng36114406,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
365,"Tiara Condo Offer 1st Home Cashback 45k, Free MOT (GRR 8% Rental 6 Year) near Pearl point Midvalley","Old Klang Road (Jalan Klang Lama), Kuala Lumpur",486000,3,2,1088,Condominium,Leasehold,446.69,https://www.propertyguru.com.my/propertylisting/tiaracondooffer1sthomecashback45kfreemotgrr8rental6yearnearpearlpointmidvalleyforsalebyjackyng36153071,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
366,"MidVille Condo OUG 0% Downpayment, GRR 8% 6Year, Offer 45k CashBack near Midvalley 1st Home Free MOT","Old Klang Road (Jalan Klang Lama), Kuala Lumpur",486000,3,2,1056,Condominium,Leasehold,460.23,https://www.propertyguru.com.my/propertylisting/midvillecondooug0downpaymentgrr86yearoffer45kcashbacknearmidvalley1sthomefreemotforsalebyjackyng36422251,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
367,Monte Bayu," Jalan Bukit Pandan Bistari 5, Cheras Baru, Cheras, Kuala Lumpur",390000,3,2,1135,Condominium,Leasehold,343.61,https://www.propertyguru.com.my/propertylisting/montebayuforsalebybenlee32931433,3.0991919,101.7374229,Cheras, Kuala Lumpur
368,Anjali North Kiara,"Jalan 3/61 Off Bukit Segambut, Segambut, Kuala Lumpur",1130000,3,4,1856,Condominium,Freehold,608.84,https://www.propertyguru.com.my/propertylisting/anjalinorthkiaraforsalebyrachelong36095331,3.1864418,101.6641964,Segambut, Kuala Lumpur
369,Aira Residence,"Jalan Batai, Damansara Heights, Kuala Lumpur",2950000,3,3,1894,Condominium,Freehold,1557.55,https://www.propertyguru.com.my/propertylisting/airaresidenceforsalebythlee36371783,3.1523954,101.6584455,Damansara Heights, Kuala Lumpur
370,Papillon Desahill Condominium," Jalan Desa Utama, Taman Desa, Kuala Lumpur",2500000,5,4,3600,Condominium,Freehold,694.44,https://www.propertyguru.com.my/propertylisting/papillondesahillcondominiumforsalebyhewsonoh34430384,3.1030637,101.6850208,Taman Desa, Kuala Lumpur
371,28 Mont Kiara,"32 Jalan Kiara, Mont Kiara, Kuala Lumpur",1800000,3,3,2500,Condominium,Freehold,720,https://www.propertyguru.com.my/propertylisting/28montkiaraforsalebychongteckseng34383758,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
372,Star Residences @ KLCC,"Jalan Yap Kwan Seng, Off Jalan Ampang, KLCC, KL City, Kuala Lumpur",1650000,2,1,808,Condominium,Freehold,2042.08,https://www.propertyguru.com.my/propertylisting/starresidencesklccforsalebymichelleong33228595,47.3776542,8.538495,KL City, Kuala Lumpur
373,ANGGUN RESIDENCES,"ANGGUN JSI, No 8 Jalan Medan Tuanku Utama, Jalan Sultan Ismail, KL City, Kuala Lumpur",774000,1,1,731,Condominium,Freehold,1058.82,https://www.propertyguru.com.my/propertylisting/anggunresidencesforsalebymichelelum36708966,47.3776542,8.538495,KL City, Kuala Lumpur
374,Gallery @ UThant," Jalan Madge, Ampang Hilir, Kuala Lumpur",3000000,5,4,4014,Condominium,Freehold,747.38,https://www.propertyguru.com.my/propertylisting/galleryuthantforsalebyravinderdass34915708,3.1585208,101.7401858,Ampang Hilir, Kuala Lumpur
375,Bayu Angkasa," Jalan Medang Kapas, Bukit Bandaraya, Bangsar, Kuala Lumpur",2100000,3,3,1529,Condominium,Freehold,1373.45,https://www.propertyguru.com.my/propertylisting/bayuangkasaforsalebyravinderdass36513956,3.13083,101.66944,Bangsar, Kuala Lumpur
376,Binjai On The Park,"KLCC, KL City, Kuala Lumpur",4000000,4,4,2250,Condominium,Freehold,1777.78,https://www.propertyguru.com.my/propertylisting/binjaiontheparkforsalebyravinderdass32756882,47.3776542,8.538495,KL City, Kuala Lumpur
377,Mutiara Villa (Bukit Bintang)," Jalan Tingkat Tong Shin, Bukit Bintang, KL City, Kuala Lumpur",349000,1,1,581,Condominium,Freehold,600.69,https://www.propertyguru.com.my/propertylisting/mutiaravillabukitbintangforsalebyjaysensee36636949,47.3776542,8.538495,KL City, Kuala Lumpur
378,Sang Suria," Jalan Ipoh, Sentul, Kuala Lumpur",505000,3,2,1161,Condominium,Freehold,434.97,https://www.propertyguru.com.my/propertylisting/sangsuriaforsalebyravinderdass34472384,3.1786181,101.6954775,Sentul, Kuala Lumpur
379,The Westside One,"No. 1 Jalan Residen Utama, Desa ParkCity, Desa ParkCity, Kuala Lumpur",740000,2,1,969,Condominium,Freehold,763.67,https://www.propertyguru.com.my/propertylisting/thewestsideoneforsalebyvernicechew36707254,3.1863832,101.6318156,Desa ParkCity, Kuala Lumpur
380,Platinum Splendor Residensi Semarak,"Jalan Semarak, Kampung Padang Tembak, Bukit Keramat, Keramat, Kuala Lumpur",460000,3,2,1050,Condominium,Leasehold,438.1,https://www.propertyguru.com.my/propertylisting/platinumsplendorresidensisemarakforsalebydylanlau36699707,3.1769852,101.7493586,Keramat, Kuala Lumpur
381,Casa Green @ Bukit Jalil,"Jalan 5/155, Bukit Jalil, Kuala Lumpur",498888,3,3,1003,Condominium,Leasehold,497.4,https://www.propertyguru.com.my/propertylisting/casagreenbukitjalilforsalebydylanlau36706843,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
382,ViPod Residences @ KLCC,"Jalan Kia Peng Off Jalan Raja Chulan, KLCC, KLCC, KL City, Kuala Lumpur",900000,2,1,635,Condominium,Freehold,1417.32,https://www.propertyguru.com.my/propertylisting/vipodresidencesklccforsalebyyeanching35561333,47.3776542,8.538495,KL City, Kuala Lumpur
383,ViPod Residences @ KLCC,"Jalan Kia Peng Off Jalan Raja Chulan, KLCC, KLCC, KL City, Kuala Lumpur",1500000,3,2,1299,Condominium,Freehold,1154.73,https://www.propertyguru.com.my/propertylisting/vipodresidencesklccforsalebyyeanching35560729,47.3776542,8.538495,KL City, Kuala Lumpur
384,St Mary Residences," Jalan Tengah, OFF Jalan Sultan Ismail, KLCC, KL City, Kuala Lumpur",1550000,3,2,1442,Condominium,Freehold,1074.9,https://www.propertyguru.com.my/propertylisting/stmaryresidencesforsalebyyeanching35560400,47.3776542,8.538495,KL City, Kuala Lumpur
385,Solaris Dutamas Designer Suites," Jalan Dutamas 1, Kuala Lumpur, Mont Kiara, Kuala Lumpur",568000,1,1,672,Condominium,Freehold,845.24,https://www.propertyguru.com.my/propertylisting/solarisdutamasdesignersuitesforsalebyaarenyap36706145,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
386,Scenaria @ North Kiara Hills,"Jalan 6/38a Off Jalan Segambut, Taman Sri Sinar, Segambut, Segambut, Kuala Lumpur",550000,3,2,1019,Condominium,Freehold,539.74,https://www.propertyguru.com.my/propertylisting/scenarianorthkiarahillsforsalebyannieong36443525,3.1864418,101.6641964,Segambut, Kuala Lumpur
387,Mizumi Residences,"Jalan Metro Perdana Barat, Tmn Metropolitan Kepong, Kepong, Kuala Lumpur",465000,3,2,901,Condominium,Leasehold,516.09,https://www.propertyguru.com.my/propertylisting/mizumiresidencesforsalebychaoxiang36579240,3.2140294,101.634842,Kepong, Kuala Lumpur
388,Bayu Tasik Condominium," Jalan Sri Permaisuri 5, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",360000,3,2,920,Condominium,Leasehold,391.3,https://www.propertyguru.com.my/propertylisting/bayutasikcondominiumforsalebyeddiengfuisiang36703738,3.0991919,101.7374229,Cheras, Kuala Lumpur
389,Saville @ Jalan Klang Lama,"128 Jalan Klang Lama, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",680000,4,3,1228,Condominium,Freehold,553.75,https://www.propertyguru.com.my/propertylisting/savillejalanklanglamaforsalebycelineyeo35627353,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
390,Vista Saujana," Taman Wangsa Permai, Sri Damansara, Kepong, Kuala Lumpur",320000,3,2,955,Condominium,Leasehold,335.08,https://www.propertyguru.com.my/propertylisting/vistasaujanaforsalebycelineyeo31476386,3.2140294,101.634842,Kepong, Kuala Lumpur
391,Laman Ceylon," Jalan Ceylon, Bukit Bintang, Bukit Bintang, KL City, Kuala Lumpur",880000,2,2,947,Condominium,Freehold,929.25,https://www.propertyguru.com.my/propertylisting/lamanceylonforsalebysureshabraham30784868,47.3776542,8.538495,KL City, Kuala Lumpur
392,Le Yuan Residence,"Jalan 6/127a Off Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",699000,2,2,1164,Condominium,Freehold,600.52,https://www.propertyguru.com.my/propertylisting/leyuanresidenceforsalebyelsisliew36413565,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
393,Le Yuan Residence,"Jalan 6/127a Off Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",745000,3,2,1392,Condominium,Freehold,535.2,https://www.propertyguru.com.my/propertylisting/leyuanresidenceforsalebyelsisliew32369194,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
394,Villa Wangsamas," Jalan Seri Wangsa 1, Wangsa Maju, Kuala Lumpur",800000,6,5,2567,Condominium,Freehold,311.65,https://www.propertyguru.com.my/propertylisting/villawangsamasforsalebyjanehew36533119,3.20568905,101.7319923,Wangsa Maju, Kuala Lumpur
395,Petalz Residences @ Old Klang Road,"Jalan Klang Lama, Off New Pantai Expressway (NPE), Old Klang Road (Jalan Klang Lama), Kuala Lumpur",600000,3,2,935,Condominium,Freehold,641.71,https://www.propertyguru.com.my/propertylisting/petalzresidencesoldklangroadforsalebyashleysaw36215696,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
396,Vista Mutiara,"No.1 Jalan Kepong, Kepong, Kuala Lumpur",380000,3,2,1200,Condominium,Leasehold,316.67,https://www.propertyguru.com.my/propertylisting/vistamutiaraforsalebyshonjuwong36502303,3.2140294,101.634842,Kepong, Kuala Lumpur
397,Kiara 1888,"Jalan Kiara 3, Kampung Segambut Dalam, Mont Kiara, Kuala Lumpur",1180000,5,3,1900,Condominium,Freehold,621.05,https://www.propertyguru.com.my/propertylisting/kiara1888forsalebyjuliantong34280929,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
398,The Z Residence,"Jalan 5/155, Taman Industri Bukit OUG, Bukit Jalil, Bukit Jalil, Kuala Lumpur",770000,3,2,1410,Condominium,Freehold,546.1,https://www.propertyguru.com.my/propertylisting/thezresidenceforsalebycedricgomez36338468,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
399,The Address @ Taman Desa,"Jalan Desa Bakti, Old Klang Road (Taman Desa), Taman Desa, Kuala Lumpur",748000,3,3,1118,New Project,Unknown,669.05,https://www.propertyguru.com.my/propertylisting/theaddresstamandesaforsalebygerisia36560875,3.1030637,101.6850208,Taman Desa, Kuala Lumpur
400,Solaris Dutamas Designer Suites," Jalan Dutamas 1, Kuala Lumpur, Mont Kiara, Kuala Lumpur",568000,1,1,672,Condominium,Freehold,845.24,https://www.propertyguru.com.my/propertylisting/solarisdutamasdesignersuitesforsalebycalvinpoh36701788,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
401,Seasons Garden Residences @ Wangsa Maju,"Jalan 26/26, Taman Setapak Jaya, Seksyen 10 Wangsa Maju, Wangsa Maju, Kuala Lumpur",550000,4,2,815,Condominium,Leasehold,674.85,https://www.propertyguru.com.my/propertylisting/seasonsgardenresidenceswangsamajuforsalebyjeslywong36696035,3.20568905,101.7319923,Wangsa Maju, Kuala Lumpur
402,Sentul Point Suite Apartment,"Jalan Sentul Pasar, Sentul, Kuala Lumpur",518800,3,2,850,Apartment,Freehold,610.35,https://www.propertyguru.com.my/propertylisting/sentulpointsuiteapartmentforsalebycheeleng36685321,3.1786181,101.6954775,Sentul, Kuala Lumpur
403,Pearl Suria,"Jalan Sepadu Off Taman United, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",525000,2,2,860,Condominium,Leasehold,610.47,https://www.propertyguru.com.my/propertylisting/pearlsuriaforsalebyashleysaw35921797,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
404,Kenny Hills Residence,"Jalan Tun Ismail Off Jalan Tunku, Bukit Tunku (Kenny Hills), Kenny Hills (Bukit Tunku), Bukit Tunku, Kuala Lumpur",4380000,5,5,6738,Condominium,Freehold,650.04,https://www.propertyguru.com.my/propertylisting/kennyhillsresidenceforsalebyyvonechong32586333,3.1665811,101.6806678,Bukit Tunku, Kuala Lumpur
405,Pinggiran Kiara," Jalan Datuk Sulaiman 6, Taman Tun Dr Ismail, Kuala Lumpur",830000,2,2,1188,Condominium,Freehold,698.65,https://www.propertyguru.com.my/propertylisting/pinggirankiaraforsalebyyinpeng35161549,3.1508079,101.6249189,Taman Tun Dr Ismail, Kuala Lumpur
406,Apartment Pelangi Magna Metro Prima Kepong KL,"Kepong, Kuala Lumpur",199000,3,2,724,Apartment,Leasehold,274.86,https://www.propertyguru.com.my/propertylisting/apartmentpelangimagnametroprimakepongklforsalebyfaridshamsuddin36687966,3.2140294,101.634842,Kepong, Kuala Lumpur
407,Cloud Tree @ Cheras,"Jalan Juara, Cheras, Kuala Lumpur",699000,4,3,1545,Condominium,Freehold,452.43,https://www.propertyguru.com.my/propertylisting/cloudtreecherasforsalebyjaysonchong36690414,3.0991919,101.7374229,Cheras, Kuala Lumpur
408,"J. Dupion, Cheras","12 Jalan Sembilang, Taman Tenaga, Taman Tenaga Taman Tenaga, Cheras, Kuala Lumpur",518000,2,2,804,Condominium,Freehold,644.28,https://www.propertyguru.com.my/propertylisting/jdupioncherasforsalebyericchong33834721,3.0991919,101.7374229,Cheras, Kuala Lumpur
409,Ketumbar Hill," Jalan Ketumbar, Taman Cheras, Cheras, Kuala Lumpur",450000,3,2,1200,Condominium,Freehold,375,https://www.propertyguru.com.my/propertylisting/ketumbarhillforsalebyponylow36555890,3.0991919,101.7374229,Cheras, Kuala Lumpur
410,Quill Residences,"Jalan Sultan Ismail, Jalan Sultan Ismail, KL City, Kuala Lumpur",736800,1,1,667,Condominium,Freehold,1104.65,https://www.propertyguru.com.my/propertylisting/quillresidencesforsalebychrisling36577474,47.3776542,8.538495,KL City, Kuala Lumpur
